UserAvgRating,AttractionAvgRating,CountrySeason,Attraction,UserVisitCount,VisitYear,AttractionPopularity,CityName,Continent_Africa,Continent_America,Continent_Asia,Continent_Australia & Oceania,Continent_Europe,Rating
5.0,4.267030385693718,463,17,1,2022,13197,1801,0.0,0.0,0.0,0.0,1.0,5
5.0,4.267030385693718,78,17,1,2022,13197,3509,0.0,1.0,0.0,0.0,0.0,5
5.0,4.267030385693718,60,17,1,2022,13197,630,0.0,1.0,0.0,0.0,0.0,5
3.0,4.267030385693718,427,17,2,2022,13197,5463,0.0,0.0,0.0,0.0,1.0,3
3.0,4.267030385693718,463,17,3,2022,13197,2847,0.0,0.0,0.0,0.0,1.0,3
5.0,4.267030385693718,467,17,2,2022,13197,4201,0.0,1.0,0.0,0.0,0.0,5
4.0,4.267030385693718,435,17,2,2022,13197,191,1.0,0.0,0.0,0.0,0.0,4
5.0,4.267030385693718,463,17,1,2022,13197,1384,0.0,0.0,0.0,0.0,1.0,5
3.0,4.267030385693718,403,17,1,2022,13197,1339,1.0,0.0,0.0,0.0,0.0,3
3.928571428571429,4.267030385693718,467,17,14,2022,13197,81,0.0,1.0,0.0,0.0,0.0,5
4.666666666666667,4.267030385693718,463,17,6,2022,13197,4094,0.0,0.0,0.0,0.0,1.0,5
5.0,4.267030385693718,20,17,1,2022,13197,5235,0.0,0.0,0.0,1.0,0.0,5
3.75,4.267030385693718,317,17,4,2022,13197,965,0.0,0.0,0.0,1.0,0.0,3
4.5,4.267030385693718,465,17,4,2022,13197,837,0.0,0.0,0.0,0.0,1.0,4
4.0,4.267030385693718,20,17,2,2022,13197,1702,0.0,0.0,0.0,1.0,0.0,4
5.0,4.267030385693718,20,17,2,2022,13197,1983,0.0,0.0,0.0,1.0,0.0,5
3.0,4.267030385693718,463,17,1,2022,13197,2601,0.0,0.0,0.0,0.0,1.0,3
4.0,4.267030385693718,465,17,1,2022,13197,4901,0.0,0.0,0.0,0.0,1.0,4
4.0,4.267030385693718,22,17,1,2022,13197,29,0.0,0.0,0.0,1.0,0.0,4
5.0,4.267030385693718,461,17,2,2022,13197,19,0.0,0.0,1.0,0.0,0.0,5
1.0,4.267030385693718,465,17,1,2022,13197,1868,0.0,0.0,0.0,0.0,1.0,1
4.0,4.267030385693718,451,17,2,2022,13197,2234,0.0,0.0,1.0,0.0,0.0,5
5.0,4.267030385693718,405,17,1,2022,13197,4467,1.0,0.0,0.0,0.0,0.0,5
5.0,4.267030385693718,161,17,1,2022,13197,225,0.0,0.0,0.0,0.0,1.0,5
3.4,4.267030385693718,22,17,5,2022,13197,4695,0.0,0.0,0.0,1.0,0.0,4
4.0,4.267030385693718,465,17,5,2022,13197,5239,0.0,0.0,0.0,0.0,1.0,5
5.0,4.267030385693718,22,17,1,2022,13197,2963,0.0,0.0,0.0,1.0,0.0,5
5.0,4.267030385693718,198,17,1,2022,13197,4256,0.0,0.0,1.0,0.0,0.0,5
4.0,4.267030385693718,22,17,1,2022,13197,655,0.0,0.0,0.0,1.0,0.0,4
5.0,4.267030385693718,194,17,2,2022,13197,434,0.0,0.0,1.0,0.0,0.0,5
5.0,4.267030385693718,22,17,1,2022,13197,3482,0.0,0.0,0.0,1.0,0.0,5
3.0,4.267030385693718,429,17,2,2022,13197,356,0.0,0.0,0.0,0.0,1.0,3
5.0,4.267030385693718,469,17,2,2022,13197,1170,0.0,1.0,0.0,0.0,0.0,5
4.0,4.267030385693718,22,17,1,2022,13197,1626,0.0,0.0,0.0,1.0,0.0,4
1.0,4.267030385693718,22,17,1,2022,13197,2963,0.0,0.0,0.0,1.0,0.0,1
5.0,4.267030385693718,22,17,1,2022,13197,655,0.0,0.0,0.0,1.0,0.0,5
4.666666666666667,4.267030385693718,194,17,3,2022,13197,434,0.0,0.0,1.0,0.0,0.0,4
3.0,4.267030385693718,132,17,1,2022,13197,767,1.0,0.0,0.0,0.0,0.0,3
5.0,4.267030385693718,461,17,1,2022,13197,1317,0.0,0.0,1.0,0.0,0.0,5
4.5,4.267030385693718,267,17,2,2022,13197,2836,0.0,0.0,0.0,0.0,1.0,5
4.333333333333333,4.267030385693718,193,17,3,2022,13197,4972,0.0,0.0,1.0,0.0,0.0,4
4.0,4.267030385693718,464,17,1,2022,13197,4503,0.0,0.0,0.0,0.0,1.0,4
5.0,4.267030385693718,197,17,1,2022,13197,2147,0.0,0.0,1.0,0.0,0.0,5
3.0,4.267030385693718,79,17,3,2022,13197,2306,0.0,1.0,0.0,0.0,0.0,2
4.0,4.267030385693718,464,17,1,2022,13197,2701,0.0,0.0,0.0,0.0,1.0,4
4.8,4.267030385693718,196,17,5,2021,13197,2147,0.0,0.0,1.0,0.0,0.0,5
5.0,4.267030385693718,196,17,1,2021,13197,2147,0.0,0.0,1.0,0.0,0.0,5
5.0,4.267030385693718,465,17,2,2021,13197,3316,0.0,0.0,0.0,0.0,1.0,5
5.0,4.267030385693718,20,17,1,2020,13197,655,0.0,0.0,0.0,1.0,0.0,5
5.0,4.267030385693718,197,17,1,2021,13197,4664,0.0,0.0,1.0,0.0,0.0,5
4.0,4.267030385693718,466,17,1,2021,13197,789,0.0,0.0,0.0,0.0,1.0,4
4.090909090909091,4.267030385693718,320,17,11,2021,13197,3929,0.0,0.0,0.0,1.0,0.0,5
5.0,4.267030385693718,199,17,2,2020,13197,4709,0.0,0.0,1.0,0.0,0.0,5
4.6,4.267030385693718,470,17,5,2020,13197,4306,0.0,1.0,0.0,0.0,0.0,5
5.0,4.267030385693718,199,17,2,2020,13197,2162,0.0,0.0,1.0,0.0,0.0,5
4.0,4.267030385693718,403,17,1,2019,13197,826,1.0,0.0,0.0,0.0,0.0,4
5.0,4.267030385693718,467,17,3,2019,13197,2982,0.0,1.0,0.0,0.0,0.0,5
